Refer_ID,Refer_smile,ecfp0_ID,ecfp0_smile,ecfp0_similarity,ecfp2_ID,ecfp2_smile,ecfp2_similarity,ecfp4_ID,ecfp4_smile,ecfp4_similarity,ecfp6_ID,ecfp6_smile,ecfp6_similarity,ecfc0_ID,ecfc0_smile,ecfc0_similarity,ecfc2_ID,ecfc2_smile,ecfc2_similarity,ecfc4_ID,ecfc4_smile,ecfc4_similarity,ecfc6_ID,ecfc6_smile,ecfc6_similarity,fcfp2_ID,fcfp2_smile,fcfp2_similarity,fcfp4_ID,fcfp4_smile,fcfp4_similarity,fcfp6_ID,fcfp6_smile,fcfp6_similarity,fcfc2_ID,fcfc2_smile,fcfc2_similarity,fcfc4_ID,fcfc4_smile,fcfc4_similarity,fcfc6_ID,fcfc6_smile,fcfc6_similarity,lecfp4_ID,lecfp4_smile,lecfp4_similarity,lecfp6_ID,lecfp6_smile,lecfp6_similarity,lfcfp4_ID,lfcfp4_smile,lfcfp4_similarity,lfcfp6_ID,lfcfp6_smile,lfcfp6_similarity,maccs_ID,maccs_smile,maccs_similarity,ap_ID,ap_smile,ap_similarity,tt_ID,tt_smile,tt_similarity,hashap_ID,hashap_smile,hashap_similarity,hashap4_ID,hashap4_smile,hashap4_similarity,hashtt_ID,hashtt_smile,hashtt_similarity,avalon_ID,avalon_smile,avalon_similarity,laval_ID,laval_smile,laval_similarity,rdk5_ID,rdk5_smile,rdk5_similarity,rdk6_ID,rdk6_smile,rdk6_similarity,rdk7_ID,rdk7_smile,rdk7_similarity
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,NP-004763,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.75,,,,,,,,,,T4973,Cn1c(=O)[nH]c2ncn(C)c2c1=O,0.6956521739130435,,,,,,,,,,,,,,,,,,,T4801,Cc1cnc(C)cn1,0.5555555555555556,,,,,,,,,,,,,,,,,,,TCFN91756,CN(C)N=Nc1nc[nH]c1C(N)=O,0.6226415094339622,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T15277,Cn1c(=O)c2ncnnc2n(C)c1=O,0.75,,,,,,,,,,T0625,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0.6956521739130435,,,,,,,,,,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5517241379310345,,,,,,,,,,,,,,,,,,,T7977,[O-][n+]1onc2ccccc21,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T0543,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,0.6666666666666666,,,,,,,,,,T1083,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.6956521739130435,,,,,,,,,,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5517241379310345,,,,,,,,,,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T10021,Cn1c(=O)[nH]c2[nH]cnc2c1=O,0.6666666666666666,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6896551724137931,,,,,,,,,,,,,,,,,,,T4940,Cl.Cl.Cn1cncc1CCN,0.55,,,,,,,,,,,,,,,,,,,T5654,CC(=O)c1c(C)c([N+](=O)[O-])c(C(C)(C)C)c([N+](=O)[O-])c1C,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T4973,Cn1c(=O)[nH]c2ncn(C)c2c1=O,0.6666666666666666,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6896551724137931,,,,,,,,,,,,,,,,,,,T8790,Cl.Cl.Cn1cnc(CCN)c1,0.55,,,,,,,,,,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,STOCK1N-31747,Cn1c(=O)[nH]c2nncnc2c1=O,0.6666666666666666,,,,,,,,,,T4801,Cc1cnc(C)cn1,0.6666666666666666,,,,,,,,,,,,,,,,,,,TN4488,Cn1ccc(=O)c(C#N)c1,0.55,,,,,,,,,,,,,,,,,,,TCFN91645,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],0.5373134328358209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,STOCK1N-76883,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,0.6666666666666666,,,,,,,,,,T0496,CN1CC(=O)N=C1N,0.6666666666666666,,,,,,,,,,,,,,,,,,,T4934,Cn1cnc(CC(N)C(=O)O)c1,0.5454545454545454,,,,,,,,,,,,,,,,,,,T2S0837,O=[N+]([O-])c1ccc(-c2csc(CCl)n2)cc1,0.5370370370370371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,PDK0014,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,0.6666666666666666,,,,,,,,,,NP-004763,Cn1c(=O)c2c(ncn2C)n(C)c1=O,0.6666666666666666,,,,,,,,,,,,,,,,,,,T8274,Cn1cncc1CC(N)C(=O)O,0.5454545454545454,,,,,,,,,,,,,,,,,,,TCFN70207,Cc1c(N)c(=O)n(-c2ccccc2)n1C,0.5272727272727272,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T0625,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0.6666666666666666,,,,,,,,,,TN2709,CC1=CC(C)(C)N=C(C)C1=O,0.6666666666666666,,,,,,,,,,,,,,,,,,,T5596,CC(=O)c1cnccn1,0.5263157894736842,,,,,,,,,,,,,,,,,,,T1879,Cn1cnc(N)c2ncnc1-2,0.5208333333333334,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T1083,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.6666666666666666,,,,,,,,,,T15277,Cn1c(=O)c2ncnnc2n(C)c1=O,0.6666666666666666,,,,,,,,,,,,,,,,,,,T8022,COC(=O)c1ccco1,0.5263157894736842,,,,,,,,,,,,,,,,,,,N085-0085,C[N+]12CCCCC1C(CNc1ccccc1[N+](=O)[O-])CCC2,0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T4601,COc1ccc2c3ccnc4ccc(=O)n(c2c1)c43,0.6666666666666666,,,,,,,,,,STOCK1N-34202,CN1C(=O)N(C)C2=NNC=NC2(O)C1=O,0.64,,,,,,,,,,,,,,,,,,,T8150,Cn1cc(C(N)=O)ccc1=O,0.5238095238095238,,,,,,,,,,,,,,,,,,,NP-004810,O=C(O)c1ccccc1NC(=O)C1CCCN1C(=O)c1ccc([N+](=O)[O-])cc1,0.5151515151515151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T8196,Cn1c(Cc2ccccc2)nc(=O)c2ccccc21,0.6666666666666666,,,,,,,,,,TN2074,CCC1C(=O)OCC1Cc1cncn1C,0.64,,,,,,,,,,,,,,,,,,,TBBP06250,Cn1ccc(=O)c(C(N)=O)c1,0.5238095238095238,,,,,,,,,,,,,,,,,,,TCFN70372,C[n+]1cc2c3c(ccc2c2ccc4cc5c(cc4c21)OCO5)OCO3.O=[N+]([O-])[O-],0.5079365079365079,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN3013,COc1c(OC)c2nccc3c4ccccc4n(c1=O)c23,0.6666666666666666,,,,,,,,,,T0543,Cn1cnc2[nH]c(=O)[nH]c(=O)c21,0.6363636363636364,,,,,,,,,,,,,,,,,,,T4973,Cn1c(=O)[nH]c2ncn(C)c2c1=O,0.5217391304347826,,,,,,,,,,,,,,,,,,,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.5068493150684932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,NP-024230,COc1cc2nccc3c4ccccc4n(c1=O)c23,0.6666666666666666,,,,,,,,,,T10021,Cn1c(=O)[nH]c2[nH]cnc2c1=O,0.6363636363636364,,,,,,,,,,,,,,,,,,,T0625,Cn1cnc2c1c(=O)[nH]c(=O)n2C,0.5217391304347826,,,,,,,,,,,,,,,,,,,T13923,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.O=[N+]([O-])[O-],0.5068493150684932,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN3020,COc1ccc2c3ccnc4c(OC)cc(=O)n(c2c1)c43,0.6666666666666666,,,,,,,,,,STOCK1N-76883,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,0.6363636363636364,,,,,,,,,,,,,,,,,,,T1083,Cn1c(=O)c2[nH]cnc2n(C)c1=O,0.5217391304347826,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN3307,COc1cc2c3ccnc4ccc(=O)n(c2cc1OC)c43,0.6666666666666666,,,,,,,,,,PDK0014,Cn1c(=O)[nH]c(=O)c2[nH]cnc21,0.6363636363636364,,,,,,,,,,,,,,,,,,,TN2074,CCC1C(=O)OCC1Cc1cncn1C,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN2965,CC(=O)c1cccc([N+](=O)[O-])c1,0.6666666666666666,,,,,,,,,,NP-002175,COc1ccn(C)c(=O)c1C#N,0.6363636363636364,,,,,,,,,,,,,,,,,,,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.5161290322580645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TCFN90115,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.6666666666666666,,,,,,,,,,TN2965,CC(=O)c1cccc([N+](=O)[O-])c1,0.6363636363636364,,,,,,,,,,,,,,,,,,,STOCK1N-18408,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.5098039215686274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,N099-0006,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCCCC2c2cccnc2)c1,0.6363636363636364,,,,,,,,,,T5270,Cc1c[nH]c(=O)nc1N,0.631578947368421,,,,,,,,,,,,,,,,,,,T0804,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.5098039215686274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,STOCK1N-03397,Cn1c(-c2ccccc2)cc(=O)c2ccccc21,0.625,,,,,,,,,,T20602,CC(=O)c1ccc(C)s1,0.631578947368421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,STOCK1N-75765,Cn1ccc(=O)c2ccccc21,0.625,,,,,,,,,,STOCK1N-18408,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T7786,O=C1c2ccccc2-n2c1nc1ccccc1c2=O,0.625,,,,,,,,,,T0804,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN1466,O=c1ccc2nccc3c4ccccc4n1c23,0.625,,,,,,,,,,TCFN92317,CN(C)C(=O)OCc1ccc([N+](=O)[O-])cc1,0.6153846153846154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN4622,Cc1nccc2c3ccccc3n(C)c12,0.625,,,,,,,,,,T1202,CN1C(=O)CCC1c1cccnc1,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6153846153846154,,,,,,,,,,STOCK1N-31747,Cn1c(=O)[nH]c2nncnc2c1=O,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.6153846153846154,,,,,,,,,,TCFN90115,Cc1cc(C(=O)O)ccc1[N+](=O)[O-],0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,STOCK1N-18333,COc1ccc2cc1Oc1ccc(cc1)CC1=NCCc3cc(OC)c(cc31)Oc1c(OC)c(OC)c(OC)c3c1C(C2)N(C)CC3.O=[N+]([O-])O,0.6153846153846154,,,,,,,,,,TCFN91756,CN(C)N=Nc1nc[nH]c1C(N)=O,0.6086956521739131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6153846153846154,,,,,,,,,,T19137,CC(=O)c1ccc(C)cc1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T5853,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1,0.6153846153846154,,,,,,,,,,T4406,CC1=CC(=O)C=C(C)C1=O,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TN1176,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc([N+](=O)[O-])ccc3nc2-1,0.6153846153846154,,,,,,,,,,T5671,CC1=CC(=O)CC(C)(C)C1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T1202,CN1C(=O)CCC1c1cccnc1,0.6,,,,,,,,,,STOCK1N-66630,CC1=CC(=O)CC(C)(C)C1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,TJS0312,Cc1cc(=O)oc2c([N+](=O)[O-])c(O)ccc12,0.6,,,,,,,,,,T5299,O=[N+]([O-])c1ccc(O)cc1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dimetridazole,Cc1ncc([N+](=O)[O-])n1C,T2205,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0.6,,,,,,,,,,TN4488,Cn1ccc(=O)c(C#N)c1,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
