Refer_ID,Refer_smile,ecfp0_ID,ecfp0_smile,ecfp0_similarity,ecfp2_ID,ecfp2_smile,ecfp2_similarity,ecfp4_ID,ecfp4_smile,ecfp4_similarity,ecfp6_ID,ecfp6_smile,ecfp6_similarity,ecfc0_ID,ecfc0_smile,ecfc0_similarity,ecfc2_ID,ecfc2_smile,ecfc2_similarity,ecfc4_ID,ecfc4_smile,ecfc4_similarity,ecfc6_ID,ecfc6_smile,ecfc6_similarity,fcfp2_ID,fcfp2_smile,fcfp2_similarity,fcfp4_ID,fcfp4_smile,fcfp4_similarity,fcfp6_ID,fcfp6_smile,fcfp6_similarity,fcfc2_ID,fcfc2_smile,fcfc2_similarity,fcfc4_ID,fcfc4_smile,fcfc4_similarity,fcfc6_ID,fcfc6_smile,fcfc6_similarity,lecfp4_ID,lecfp4_smile,lecfp4_similarity,lecfp6_ID,lecfp6_smile,lecfp6_similarity,lfcfp4_ID,lfcfp4_smile,lfcfp4_similarity,lfcfp6_ID,lfcfp6_smile,lfcfp6_similarity,maccs_ID,maccs_smile,maccs_similarity,ap_ID,ap_smile,ap_similarity,tt_ID,tt_smile,tt_similarity,hashap_ID,hashap_smile,hashap_similarity,hashap4_ID,hashap4_smile,hashap4_similarity,hashtt_ID,hashtt_smile,hashtt_similarity,avalon_ID,avalon_smile,avalon_similarity,laval_ID,laval_smile,laval_similarity,rdk5_ID,rdk5_smile,rdk5_similarity,rdk6_ID,rdk6_smile,rdk6_similarity,rdk7_ID,rdk7_smile,rdk7_similarity
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.8461538461538461,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.75,T5940,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.5333333333333333,,,,,,,,,,,,,,,,T5940,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.6,T5940,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.5063291139240507,,,,,,,,,,,,,,,,T13923,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.O=[N+]([O-])[O-],0.6216216216216216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T5940,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.8181818181818182,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.75,,,,,,,,,,,,,,,,,,,T7457,Cc1cn(C2CC(O)C(CO)O2)c(=O)nc1N,0.6,,,,,,,,,,,,,,,,,,,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T0892,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,0.8181818181818182,,,,,,,,,,T5940,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.7333333333333333,,,,,,,,,,,,,,,,,,,T7965,CC1OC(n2cc(F)c(N)nc2=O)C(O)C1O,0.6,,,,,,,,,,,,,,,,,,,T5853,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1,0.5769230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T4934,Cn1cnc(CC(N)C(=O)O)c1,0.75,,,,,,,,,,T4934,Cn1cnc(CC(N)C(=O)O)c1,0.72,,,,,,,,,,,,,,,,,,,T21552,Cc1cn(C2CC(O)C(C)O2)c(=O)[nH]c1=O,0.5862068965517241,,,,,,,,,,,,,,,,,,,TN1176,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc([N+](=O)[O-])ccc3nc2-1,0.5769230769230769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T8274,Cn1cncc1CC(N)C(=O)O,0.75,,,,,,,,,,T8274,Cn1cncc1CC(N)C(=O)O,0.72,,,,,,,,,,,,,,,,,,,T4758,Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1,0.5862068965517241,,,,,,,,,,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,TQ0197,CC(=O)CC(c1ccc([N+](=O)[O-])cc1)c1c(O)c2ccccc2oc1=O,0.75,,,,,,,,,,T0892,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,0.7096774193548387,,,,,,,,,,,,,,,,,,,TN3378,CC1c2cnccc2CC1O,0.5833333333333334,,,,,,,,,,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5714285714285714,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T0937,Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(CC(O)C(O)C(O)CO)c2cc1C,0.75,,,,,,,,,,NP-003458,CC(O)CC1=CC(C(C)O)OC1=O,0.6923076923076923,,,,,,,,,,,,,,,,,,,TCFN00296,O=C1CCn2ccc(CO)c21,0.5833333333333334,,,,,,,,,,,,,,,,,,,NP-004810,O=C(O)c1ccccc1NC(=O)C1CCCN1C(=O)c1ccc([N+](=O)[O-])cc1,0.5492957746478874,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,TCFN90100,CCCCCCCCc1ccc(C(O)CC(CO)(CO)[N+](=O)[O-])cc1,0.75,,,,,,,,,,NP-003459,CC(O)CC1=CC(O)C(C)OC1=O,0.6923076923076923,,,,,,,,,,,,,,,,,,,T7607,CC1(F)C(O)C(CO)OC1n1ccc(N)nc1=O,0.5806451612903226,,,,,,,,,,,,,,,,,,,TCFN91645,Nc1nc(NCCNc2ncc(-c3ncc[nH]3)c(-c3ccc(Cl)cc3Cl)n2)ccc1[N+](=O)[O-],0.547945205479452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T2205,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0.7272727272727273,,,,,,,,,,NP-022561,Cc1c(O)cc(CC(C)O)oc1=O,0.6923076923076923,,,,,,,,,,,,,,,,,,,NP-022561,Cc1c(O)cc(CC(C)O)oc1=O,0.5769230769230769,,,,,,,,,,,,,,,,,,,T5940,CC(O)Cn1cnc2c1c(=O)n(C)c(=O)n2C,0.5428571428571428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Secnidazole,Cc1ncc([N+](=O)[O-])n1CC(C)O,T0070,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.7272727272727273,,,,,,,,,,NP-024736,CCCC(O)c1ccc(=O)oc1C,0.6923076923076923,,,,,,,,,,,,,,,,,,,T1591,Cl.N=c1ccn2c(n1)OC1C(O)C(CO)OC12,0.576271186440678,,,,,,,,,,,,,,,,,,,T1388,OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,0.5396825396825397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
