Refer_ID,Refer_smile,ecfp0_ID,ecfp0_smile,ecfp0_similarity,ecfp2_ID,ecfp2_smile,ecfp2_similarity,ecfp4_ID,ecfp4_smile,ecfp4_similarity,ecfp6_ID,ecfp6_smile,ecfp6_similarity,ecfc0_ID,ecfc0_smile,ecfc0_similarity,ecfc2_ID,ecfc2_smile,ecfc2_similarity,ecfc4_ID,ecfc4_smile,ecfc4_similarity,ecfc6_ID,ecfc6_smile,ecfc6_similarity,fcfp2_ID,fcfp2_smile,fcfp2_similarity,fcfp4_ID,fcfp4_smile,fcfp4_similarity,fcfp6_ID,fcfp6_smile,fcfp6_similarity,fcfc2_ID,fcfc2_smile,fcfc2_similarity,fcfc4_ID,fcfc4_smile,fcfc4_similarity,fcfc6_ID,fcfc6_smile,fcfc6_similarity,lecfp4_ID,lecfp4_smile,lecfp4_similarity,lecfp6_ID,lecfp6_smile,lecfp6_similarity,lfcfp4_ID,lfcfp4_smile,lfcfp4_similarity,lfcfp6_ID,lfcfp6_smile,lfcfp6_similarity,maccs_ID,maccs_smile,maccs_similarity,ap_ID,ap_smile,ap_similarity,tt_ID,tt_smile,tt_similarity,hashap_ID,hashap_smile,hashap_similarity,hashap4_ID,hashap4_smile,hashap4_similarity,hashtt_ID,hashtt_smile,hashtt_similarity,avalon_ID,avalon_smile,avalon_similarity,laval_ID,laval_smile,laval_similarity,rdk5_ID,rdk5_smile,rdk5_similarity,rdk6_ID,rdk6_smile,rdk6_similarity,rdk7_ID,rdk7_smile,rdk7_similarity
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,T8196,Cn1c(Cc2ccccc2)nc(=O)c2ccccc21,0.7,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.7428571428571429,,,,,,,,,,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6857142857142857,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5217391304347826,,,,,,,,,,,,,,,,N099-0006,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCCCC2c2cccnc2)c1,0.6075949367088608,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1040,CC1=C2C(CCC(N)=O)C(C)(C)C(=CC3=NC(=C(C)C4=NC(C)(C5N=C1C(C)(CCC(=O)NCC(C)OP(=O)([O-])OC1C(CO)OC(n6cnc7cc(C)c(C)cc76)C1O)C5CC(N)=O)C(C)(CC(N)=O)C4CCC(N)=O)C(C)(CC(N)=O)C3CCC(N)=O)N2[Co+]C#N,0.5124378109452736
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,N099-0006,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCCCC2c2cccnc2)c1,0.6666666666666666,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.7428571428571429,,,,,,,,,,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6857142857142857,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.5217391304347826,,,,,,,,,,,,,,,,T13923,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.O=[N+]([O-])[O-],0.5764705882352941,,,,,,,,,,,,,,,,,,,,,,,,,,,,T20565,CC=C1CN2CCC34c5ccccc5N(C)C35OCC4(C(=O)OC)C1CC25,0.512291052114061
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6428571428571429,,,,,,,,,,T0070,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.7222222222222222,,,,,,,,,,,,,,,,,,,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.6216216216216216,,,,,,,,,,,,,,,,,,,T16442,Cc1cc(N2C(=O)NC(=O)C2(C)C)cc(C)c1CCS(=O)(=O)N1CCC2(CC1)N=C(c1ccc(OC(F)(F)F)cc1)NC2=O,0.5742574257425742,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN4900,CC=C1CN2C3CC45c6ccc(O)cc6NC4(O3)C2CC1C5(COC(C)=O)C(=O)OC,0.5117878192534381
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.6428571428571429,,,,,,,,,,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.7027027027027027,,,,,,,,,,,,,,,,,,,NP-012620,CCCCc1occ2c1C(=O)OC2,0.6206896551724138,,,,,,,,,,,,,,,,,,,N085-0085,C[N+]12CCCCC1C(CNc1ccccc1[N+](=O)[O-])CCC2,0.569620253164557,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOCK1N-47291,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCCNCCCCN)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1c[nH]cn1,0.5108695652173914
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.6428571428571429,,,,,,,,,,T2205,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0.6666666666666666,,,,,,,,,,,,,,,,,,,TN2074,CCC1C(=O)OCC1Cc1cncn1C,0.6129032258064516,,,,,,,,,,,,,,,,,,,T17199,CCCOc1ccc(S(=O)(=O)NCCC2CCCN2C)cc1-c1nc2c(CCC)nn(C)c2c(=O)[nH]1,0.5643564356435643,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOCK1N-74760,Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1.Cc1c(N)nc(C(CC(N)=O)NCC(N)C(N)=O)nc1C(=O)NC(C(=O)NC(C)C(O)C(C)C(=O)NC(C(=O)NCCc1nc(-c2nc(C(=O)NCCC[S+](C)C)cs2)cs1)C(C)O)C(OC1OC(CO)C(O)C(O)C1OC1OC(CO)C(O)C(OC(N)=O)C1O)c1cnc[nH]1.O=S(=O)([O-])[O-],0.5108695652173914
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,T5853,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c([N+](=O)[O-])cccc3nc2-1,0.6428571428571429,,,,,,,,,,T0892,Cn1c(=O)c2c(ncn2CC(O)CO)n(C)c1=O,0.6470588235294118,,,,,,,,,,,,,,,,,,,STOCK1N-18408,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.6031746031746031,,,,,,,,,,,,,,,,,,,TQ0152,CCN(CC)CCS(=O)(=O)C1CCN2C(=O)c3coc(n3)CC(=O)CC(O)C=C(C)C=CCNC(=O)C=CC(C)C(C(C)C)OC(=O)C12,0.5543478260869565,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN2068,CC=C1CN2C3CC45c6ccccc6NC4(O3)C2CC1C5C(=O)OC,0.5108267716535433
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,TN1176,CCC1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc([N+](=O)[O-])ccc3nc2-1,0.6428571428571429,,,,,,,,,,TN2074,CCC1C(=O)OCC1Cc1cncn1C,0.6451612903225806,,,,,,,,,,,,,,,,,,,T0804,CCC1C(=O)OCC1Cc1cncn1C.Cl,0.6031746031746031,,,,,,,,,,,,,,,,,,,T1231,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN4783,CC=C1CN2C3CC45c6ccccc6NC4(O3)C2CC1C5(C=O)C(=O)OC,0.5108055009823183
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,T2205,Cn1c(=O)c2c(ncn2CC(=O)O)n(C)c1=O,0.6363636363636364,,,,,,,,,,TN2101,CCCCCC1=CC(=O)C=C(OC)C1=O,0.6451612903225806,,,,,,,,,,,,,,,,,,,N099-0006,O=[N+]([O-])c1cccc(S(=O)(=O)N2CCCCC2c2cccnc2)c1,0.6,,,,,,,,,,,,,,,,,,,STOCK1N-99758,CCC1C(=O)OCC1Cc1cncn1C.O=[N+]([O-])O,0.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,TN4784,CC=C1CN2C3CC45c6ccccc6NC4(O3)C2CC1C5(COC(C)=O)C(=O)OC,0.5108055009823183
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,T0070,CC(=O)CCCCn1c(=O)c2c(ncn2C)n(C)c1=O,0.6363636363636364,,,,,,,,,,T13923,Cc1ncc(C[n+]2csc(CCO)c2C)c(N)n1.O=[N+]([O-])[O-],0.631578947368421,,,,,,,,,,,,,,,,,,,TN5241,Cc1c2c(cc3occ(C=O)c13)C(=O)CCC2C,0.5882352941176471,,,,,,,,,,,,,,,,,,,T4704,Cn1cncc1CC(NC(=O)CCN)C(=O)O.O=[N+]([O-])O,0.5402298850574713,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOCK1N-38480,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1.O=S(=O)(O)O,0.5107632093933464
Tinidazole,CCS(=O)(=O)CCn1c([N+](=O)[O-])cnc1C,TCFN90099,CCCCCCCCc1ccc(C(=O)CC[N+](=O)[O-])cc1,0.6363636363636364,,,,,,,,,,NP-020718,CCCCCCC1=C(C)C(=O)N(C(C)C(=O)O)C1=O,0.6285714285714286,,,,,,,,,,,,,,,,,,,T1202,CN1C(=O)CCC1c1cccnc1,0.5862068965517241,,,,,,,,,,,,,,,,,,,T7056,CCCCc1oc2ccc(NS(C)(=O)=O)cc2c1C(=O)c1ccc(OCCCN(CCCC)CCCC)cc1,0.5384615384615384,,,,,,,,,,,,,,,,,,,,,,,,,,,,STOCK1N-40733,CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C=O)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1.O=S(=O)(O)O,0.5107632093933464
